memory, inkling	abhav                 अभाव                                                          n.                       non-existence, absence,
monsoon	baru          बरु                            better, rather, or
monsoon	barulo        बारुलो                n.       wasp
monsoon	basai saral   बसाई सराई             n.       migration
monsoon	basalnu       बसाल्नु               v.t.     to cause to sit, to make
someone sit	basanta       बसन्त                 n.       spring
someone sit	basaunu       बसाउनु                v.t.     to cause to sit, to make
someone sit	basinda       बासिन्दा              n.       inhabitant,     resident
someone sit	बस्नु
someone sit	basobas       बसोबास                n.       residence, place of
residence	basovas       बसोवास                n.       residence, place of
residence	bata          बाठ                   postp.   from, by
residence	bata marnu    बात मार्नु            ४.1.     to talk
residence	batas         बतास                  n.       wind, air
residence	batho         बाठो                  adj.     intelligent, clever
residence	bato          बाटो                  n.       road, path, way
residence	bato lagnu    बाटो लाग्नु           v.t.     to set off
residence	battai        बट्टाई                n.       quail
residence	batti         बत्ती                 n.       lamp
residence	battis        बत्तीस                num.     thirty-two, 32
residence	batuko        बटुको                 n.       cup, bowl
residence	baulaha       बौलाहा                adj.     mad, lunatic
residence	baunna        बाउन्न                num.     fifty-two, 52
residence	bayalis       बयालीस                num.     forty-two, 42
residence	bayan         बयान                  n.       description, narration,
account	bayan         बायाँ                 adj.     left
account	bayanabbe     बयानब्बे              num.     ninety-two, 92
account	bayasi        बयासी                 num.     eighty-two, 82
account	becnu         बेच्नु                v.t.     to sell, to dispose off
account	बेग्लो
2)	लल
after sunset	bemajja         बेमज्जा            adj.      not pleasing
benci	बेन्ची             n.        bench
benci	bensi           बेंसी              n.        valley, lowland,    lower
portion of a hill	bepar           बेपार              n.        trade, commerce
portion of a hill	bepar garnu     बेपार गर्नु        v.t.      to trade, to sell
portion of a hill	bepari          बेपारी             n.        trader, merchant
portion of a hill	ber             बेर                n.        time, delay, late
portion of a hill	berojgar        बेरोजगार           n.        unemployment
portion of a hill	bes             बेस                adj.      good, very good
portion of a hill	besar           बेसार              n.        turmeric
portion of a hill	besari          बेसरी              adv.      nicely, abundantly,
excessively	bevasta         बेवास्ता           adj.      indifferent, unmindful,
unconcerned, careless	bhada           भाडा               n.        rent, hire, fare, freight
unconcerned, careless	भa
unconcerned, careless	bhadal            द्‌              n.        woman's brother's daughter
a 3	bhadau            दा               n.        fifth month of the Nepali
year [August-September]	bhadgaun        भादगाउँ            n.        Bhaktapur, Bhadgaon [an
bhadkinu	भड्किनु            ४.|.      to be frightened, to feel
shy, to go astray	bhado           भदो                n.        woman's    brother's son
shy, to go astray	bhadra          भद्र               n.        fifth month of the Nepali
year [August-September]	bhagnu          भाग्नु             VI.       to flee, to run away
year [August-September]	bhai            भाइ                n.        younger brother
year [August-September]	bhai-bharadar   भाइ-भारादार        n.        king's address towards his
royal relatives	bhaibuhari      भाइबुहारी          n.        younger brother's wife
royal relatives	bhainsi         भैंसी              n.        water buffalo [female]
royal relatives	bhajan          भाजन               n.        receptacle, object, dividing
27	bhaka                भाका                   n.        promise
27	bhakta               भक्त                   n./adj.   devotee; devoted,        pious
27	bhaktapur            भक्तपुर                n.        Bhaktapur, Bhadgaon [an
Kathmandu]	bhakti               भक्ति                  n.        devotion, worship,
veneration	bhaktiman            भक्तिमान               n./adj.   devotee; devoted,        pious
veneration	bhakundo khelnu      भकुण्डो खेल्नु         v.t.      to play football
veneration	bhala                भाला                   n.        spear,     lance, pike
veneration	bhalai               भलाई                   n.        welfare, well-being,
comparative]	bhandakunda          भाँडाकुँडा             n.        pots and pans
comparative]	bhandaphor           भण्डाफोर               n.        unmasking, unveiling,
betrayal	bhandar              भण्डार                 n.        store room
betrayal	bhando               भाँडो                  n.        cooking     pot, vessel, pot
betrayal	bhane                भने                    Conj.     if, on the other hand
betrayal	bhangero             भँगेरो                 n.        sparrow
betrayal	bhanij               भानिज                  n.        sister's son
betrayal	bhanje buhari        भान्जे बुहारी          n.        sister's son's wife
betrayal	bhanje jvain         भान्जे ज्वाई           n.        sister's daughter's husband
betrayal	bhanji               भान्जी                 n.        sister's daughter
betrayal	bhanjo               भान्जी                 n.        sister's son
betrayal	bhanjyang            भञ्ज्याङ               n.        narrow valley, defile,
mountain pass	bhansa               भान्सा                 n.        kitchen
mountain pass	bhansar              भन्सार                 n.        customs,      customs duties,
department	bhanubhakta acarya   भानुभक्त आचार्य        n.        Bhanubhakta Acharya [a
28	bhar                भर                   n.       trust, faith, fullness
28	bhar parnu          भर पर्नु             v.t.     to trust
28	bharadar            भारादार              n.       a high official
28	bharadari sabha     भारादारी सभा         n.       assembly of high officials or
Rana times	bharat              भारत                 n.       India
Rana times	bharatiya           भारतीय               adj.     Indian
Rana times	bhare               भरे                  postp.   later in the day, afterwards
Rana times	bhari               भारी                 adj.     heavy, weighty
Rana times	bhari               भरि                  adj.     full to the brim, full
Rana times	bharibharau         भरिभराउ              adj.     full to the brim, full
Rana times	bharipurna          भरिपूर्ण             adj.     full to the brim, full
Rana times	bharkar             भर्खर                adv.     right now
Rana times	bharopeli           भारोपेली             adj.     indoeuropean
Rana times	bharopiya           भारोपीय              adj.     indoeuropean
Rana times	bharosa             भरोसा                n.       hope, trust, reliance
Rana times	bhartsana           भर्त्सना             n.       reproach, abuse
Rana times	bharya              भार्या               n.       wife, female consort
Rana times	bharyang            भस्याङ               n.       stairs
Rana times	bhasa               भाषा                 n.       language
Rana times	bhasan              भाषण                 n.       speech, lecture
Rana times	bhasan dinu         भाषण दिनु            v.t.     to give a lecture
Rana times	bhasavigyan         भाषाविज्ञान          n.       linguistics, philosophy
Rana times	bhat                भात                  n.       boiled rice
Rana times	bhatamas            भटमास                n.       soyabean
Rana times	bhatiji             भतिजी                n.       man's brother's daughter
Rana times	bhatijo             भतिजो                n.       man's brother's son
Rana times	bhattarak           भट्टारक              adj.     revered, respectable
Rana times	bhau                भाउ                  n.       price, value, rate
Rana times	bhaugolik           भौगोलिक              adj.     geographic, geographical
Rana times	bhaugolik mahatva   भौगोलिक महत्व                 geographical importance
Rana times	bhauju              भाउजू                n.       elder brother's wife
Rana times	bhava               भाव                  n.       thought, mental state,
feeling, sentiment, musing	bhavan              भवन                  n.       house,     mansion,   palace
29	bhavan     nirman   kala   भवान     निर्माण कला                   architecture
29	bhavana                    भावना                       n.         thought, mental state,
feeling, sentiment,      musing	bhavavacak     nam         भाववाचक नाम                 n.         abstract [linguistics]
feeling, sentiment,      musing	bhavya                     भव्य                        adj.       grand, pompous,
splendorous	०
splendorous	bhedo                      भेडो                        n.         sheep
come across	bhijnu                                                 ४.1.       to get wet
come across	bhitrinu                                               ४.1.       to enter, to penetrate
the family or group	bhogdan                    भोगदान                      n.         help, assistance
the family or group	bhojan                     भोजन                        n.         food
the family or group	bhojnalaya                 भोजनालय                     n.         kitchen, cafe, canteen,
dining room	bhok                       भोक                         n.         hunger
dining room	bhok lagnu                 भोक लागनु                              to be hungry
dining room	bhokaunu                   भोकाउनु                     ४.1.       to be hungry
dining room	bholi                      भोलि                        adv.       tomorrow
dining room	bhote                      भोटे                        n.         Tibetan, Bhote
dining room	bhraman                    भ्रमण                       n.         travel, travelling, roaming
dining room	bhrasta                    भ्रष्ट                      adj.       fallen, spoilt, polluted,
defiled	bhrastacar                 भ्रष्टाचार                  n.         corruption, corrupt practice
defiled	३०
defiled	bhrastacari           भ्रष्टाचारी               n.          corrupt person
defiled	bhugarbha vigyan      भूगर्भ विज्ञान            n.          geology
defiled	bhugolko anusandhan   भूगोलको अनुसन्धान कार्य   n.          geological survey
karya	bhuin                 भइँ
earth	bhuin                 भइँ                       n.          ground, floor, surface of the
earth	bhuincalo             भइँचालो                   n.          earthquake
earth	bhuinkatahar          भइँकठहर                   n.          pineapple
earth	bhuja                 भुजा                      n.          boild rice [upper class]
earth	bhuknu                                          ४.1.        to bark
Wad	bhu-ksharan           भ-क्षरण                   n.          soil erosion
Wad	भुल्नु
mistake, to be attached	bhumi                 भूमि                      n.          ground, floor, surface of the
earth	bhumigat              भुमिगत                    n.          underground
earth	bhumika               भूमिका                    n.          preface, introduction,
foreword	bhundi                भँडी                      n.          stomach
foreword	bhu-parivestit desh   भू-परिवेष्ठित देश         n.          land-locked country
foreword	bhusuno               भुसुनो                    n.          gnat
foreword	bhuteko makai         भुटेको मकै                n.          popcorn
foreword	bhuteko masu          भुटेको मासु               n.          fried meat
foreword	bhutla                भुत्ल                     n.          fur, hair
foreword	मुटनु
foreword	bhutpurva             भूतपूर्व                  adj.        past, former, previous
foreword	bhutuva               भुटुवा                    n.          fried meat
foreword	bhyaguto              भ्यागुतो                  n.          frog
foreword	bhyaunu               भ्याउनु                   ४.1.        to find time
foreword	bic                   बीच                       n./postp.   middle, centre, during,
among	bicar                 बिचार                     n.          thought, consideration,    idea
among	bicchi                बिच्छी                    n.          scorpion
among	bigauti               बिगौती                    n.          beestings, the milk of the
animal after bearing a calf	biha                  बिहा                      n.          marriage, wedding,
matrimony	bihaite         बिहाइते       adj.      married, wedded
matrimony	bihana          बिहान         n./adv.   morning; in the morning
matrimony	bihivar         बिहिवार       n.        Thursday
matrimony	bij             बीज           n.        seed
matrimony	bijaropan       बीजारोपण      n.        laying of the foundation
ceremony	bijuli          बिजुली        n.        electricity, lightening
ceremony	bikha           बिख           n.        poison, venom
ceremony	bilkul          बिलकुल        adj.      entirely, fully, completely
ceremony	binti           बिन्ती        n.        request, prayer
ceremony	bintipatra      बिन्तिपत्र    n.        application, petition
ceremony	biralo          बिरालो        n.        cat
ceremony	birami          बिरामी        n./adj.   patient, illness, ill
ceremony	birta           बिर्ता        n.        free-hold land
ceremony	birtaval        बिर्तावाल     n.        owner of free-hold land
ceremony	bis             बीस           num.      twenty, 20
ceremony	bitaunu         बिताउनु       v.t.      to spend
ceremony	biu             बीउ           n.        seed
ceremony	biunjhanu       बिउँझनु       v.t.      to wake up
ceremony	bodi            बोडी          n.        a kind of bean, blackeye
bean	boknu           बोक्नु        v.t.      to carry, to lift, to conceive
bean	boko            बोको          n.        he-goat
bean	bolaunu         बोलाउनु       v.t.      to call, to invite
bean	bolbala         बोलबाला       n.        all in all, all powerful
bean	bolcal          बोलचाल        n.        conversation, talk
bean	bolcalma        बोलचालमा                in everyday language
bean	bolinu          बोलिनु        ४.1.      to be spoken
bean	bolivacan       बोलीवचन       n.        conversation, talk
bean	bolnu           बोल्नु        ४.1.      to speak
bean	brihaspatibar   बृहस्पतिबार   n.        Thursday
bean	जीवा            बृहत          adj.      big, large, huge
bean	buddhi          बुद्धि        n.        knowledge, intellect, mental
power, wisdom	buddhical       बुद्धिचाल     n.        chess
power, wisdom	buddhijivi    बृद्धिजीवी         adj.   intelligent, learned
power, wisdom	budhavar      बुधवार             n.     Wednesday
power, wisdom	budhi ama     बृढी आमा           n.     grandmother [lower class]
power, wisdom	budhi aunlo   बृढी औंलो          n.     thumb
power, wisdom	buingal       बुझँगल             n.     upper storey of a house,
attic, garret	bujhaunu      बुझाउनु            v.t.   to explain, to make over
attic, garret	bunda         बुँदा              n.     main point, main issue
attic, garret	burundi       बुरुण्डी           n.     Burundi
butta                            n.     design	बुट्टा
butta                            n.     design	buva          बुवा               n.     father, papa
butta                            n.     design	bvanso        ब्वाँसो            n.     wolf
butta                            n.     design	byadmintan    ब्याडमिन्टन        n.     badminton
butta                            n.     design	cabaunu       चबाउनु             v.t.   to chew
butta                            n.     design	cadhaunu      चढाउनु             v.t.   to cause to ride, to offer [to
cadhnu	चढ्नु              v.t.   to climb, to mount, to ride
cadnu	चड्नु              v.t.   to mount, to go up, to
ascend, to ride, to improve	caharnu       चहार्नु            v.t.   to loiter, to linger, to walk
moving about	cahinu        चाहिनु             VI.    to be necessary, to be
required	चैत
required	पने
a	caitra        चैत्र              n.     twelfth month of the Nepali
year [March-April]	cakhaunu      चखाउनु             v.t.   to cause to taste
year [March-April]	cakhnu        चाख्नु             v.t.   to taste
year [March-April]	cakku         चक्क्‌             n.     knife, cutting knife
year [March-April]	cakramarg     चक्रमार्ग          n.     ringroad
year [March-April]	Cal           चाल                n.     movement
year [March-April]	calak         चलाक               adj.   clever, sly, cunning, shrewd
year [March-April]	calakh        चलाख               adj.   clever, sly, cunning, shrewd
year [March-April]	३३
year [March-April]	calan          चलन                n.      custom, habit, style,
conduct	calan          चलान               n.      despatch,     consignment
conduct	calan garnu    चलन गर्नु          v.t.    to use
conduct	calaunu        चलाउनु             v.t.    to cause to move, to put to
use, to move, to despatch	calis          चालिस              num.    forty, 40
use, to move, to despatch	callo          चल्लो              n.      young chicken
use, to move, to despatch	calnu          चल्नु              ५४...   to move, to be current, to
be in use, to work, to flirt	caltika        चल्तीका            adj.    common,       normal,   in
circulation	camada         चमडा               n.      skin, hide
circulation	camal          चामल               n.      husked but uncooked rice
circulation	camca          चम्चा              n.      spoon
circulation	camero         चमेरो              n.      bat, vampire
circulation	camkanu        चम्कनु             ४.1.    to glitter, to shine
circulation	camkaunu       चम्काउनु           v.t.    to polish, to cause to shine
circulation	camkilo        चम्किलो            adj.    bright
circulation	camsur         चम्सुर             n.      [a kind of pungent
herbal medicine]	canakya        चाणक्य             n.      [name of Kautilya, the
Arthashastra]	cancun         चानचुन             adj.    about, a little,
miscellaneous	canda          चन्दा              n.      donation
miscellaneous	चाँडै
candal          a                 adv.    soon	candi          चाँदी              n.      silver
candal          a                 adv.    soon	cando          चाँडो              adj.    quick, fast, soon,
immediately	candrama       चन्द्रमा           n.      moon
immediately	cangunarayan   चाँगुनारायण        n.      Changunarayan [an ancient
the Kathmandu valley]	cap            चाप                n.      arc, segment of a circle,
semi-circle, rainbow	car            चार                num.    four, 4
semi-circle, rainbow	चारैतिर
semi-circle, rainbow	दे
semi-circle, rainbow	Caraitira       चर                adv.    on all (four) sides
semi-circle, rainbow	Caran          चरण                n.      foot, leg, a quarter of a
semi-circle, rainbow	३4
stanza	Caraunu       चराउनु           v.t.      to make graze
stanza	Carca         चर्चा            n.        talk, enquiry, query, praise,
remark, commendation	carit         चरित             n.        character, conduct,
occupation	Caritra       चरित्र           n.        character, conduct,
occupation	carkanu       चर्कनु           v.t.      to crack, to split, to break
occupation	carkaunu      चर्काउनु         v.t.      to cause to crack, to cause
to split	carkha        चर्खा            n.        spinning wheel
to split	carko         चर्को            adj.      hard, bitter, heavy, difficult,
excessive, high	carnu        चर्नु             ४...      to graze
excessive, high	caro          चरो              n.        bird
excessive, high	cartarph      चारतफ            adv.      on all (four) sides
excessive, high	cartira       चारतिर           adv.      on all (four) sides
excessive, high	cataunu       चटाउनु           v.t.      to cause to lick
excessive, high	catnu         चाटनु            ४...      to lick
x	चौबर_
x	caubis        चौबीस            num.      twenty-four, 24
x	चौडा
x	cauda         ॥2               n./adj.   width, breadth; wide
x	चौडाइ
x	caudal        ॥2               n./adj.   width, breadth; wide
x	चौ ey
x	चौहत्तर
x	चौहत्त
x	cauka         चौका             n.        eating place surrounding
the store	cauntis       चौंतीस           num.      thirty-four, 34
age a	Cauranabbe    चौरानब्बे        num.      ninety-four, 94
age a	Caurasl       चौरासी           num.      eighty-four, 84
age a	causaitthi    चौसटठी           num.      sicty-four, 64
age a	cautara       चौतारा           n.        sincere and benevolent
member of the royal family	cautariya     चौतरिया          n.        member of the royal family
rationality, spirit	cetauni              चेताउनी                 n.         to warn
rationality, spirit	cetavani             चेतावनी                 n.         warning
rationality, spirit	cetnu                चेत्नु                  VI.        to be conscious, to recover
alert	cha                  छ                       num.       six, 6
alert	cha patra            छ पत्र                  adj.       sixfold
alert	chabbis              छब्बीस                  num.       twenty-six, 26
alert	chadnu               छाड्नु                  v.t.       to leave, to leave out
alert	chahari              छहारी                              shade, shelter, protection
alert	chahattar            छहत्तर                  num.       seventy-six, 76
alert	chaitaun             छैटौं                   adj.       sixth
alert	chakkinu             छक्किनु                 ४.1.       to be deceived, to be
astonished	chakyaunu            छक्याउनु                v.t.       to tell lies, to deceive
astonished	chala                छाला                    n.         skin
astonished	chalphal             छलफल                    n.         discussion, debate
astonished	chalphal garnu       छलफल       गर्नु        v.t.       to discuss
astonished	chamnu               छाम्नु                  v.t.       to touch, to feel
astonished	chana                छाना                    n.         roof
astonished	३6
astonished	chanavin      छानवीन           n.     selection, search, scrutiny,
choice	chand         छन्द             n.     meter, prosody,      intention
choice	channe        छान्ने           n.     filter, strainer
choice	channu        छान्नु           v.t.   to choose, to select, to
sieve	chantyal      छन्थ्याल         n.     Chantyal [a Nepali
nationality]	chapakhana    छापाखाना         n.     press, printing press
nationality]	chapanna      छपन्न            num.   fifty-six, 56
nationality]	chapinu       छापिनु           ४...   to be published
nationality]	chapnu        छाप्नु           v.t.   to print, to publish
a                v.t.   to scatter, to disperse	chata         छाता             n.     umbrella
a                v.t.   to scatter, to disperse	chati         छाती             n.     chest, breast, bravery,
courage	chatra        छात्र            n.     scholar, disciple, pupil
courage	chatravas     छात्रावास        n.     hostel, boarding house,
lodging	chattis       छत्तीस           num.   thirty-six, 36
lodging	chaunu        छाउनु            v.t.   to cover, to roof
lodging	chauro        छाउरो            n.     cub, puppy, kitten
lodging	chaya         छाया             n.     shade, shadow,       reflection
lodging	chayalis      छयालीस           num.   forty-six, 46
lodging	chayan        छायाँ            n.     shade, shadow,       reflection
lodging	chayanabbe    छयानब्बे         num.   ninety-six, 96
lodging	chayasi       छयासी            num.   eighty-six, 86
lodging	cheknu        छेक्नु           v.t.   to stop, to hinder
lodging	chetri        छेत्री           n.     Chetri, Kshatriya [the
hierarchy]	chimeki       छिमेकी           n.     neighbour
hierarchy]	chindi        छिंडी            n.     cellar, basement
hierarchy]	chiraunu      छिराउनु          v.t.   to cause to go through
hierarchy]	chirkemirke   छिकमिर्क         adj.   spotted
chito                          adj.   quick, smart	३7
chunu                           v.t.   to touch	chutkara      छुटकारा           n.     release, freedom,       rescue
chunu                           v.t.   to touch	chutnu                          ४.1.   to be left, to separate
ged	chuvachut     छुवाछुत           n.     untouchability,
contamination	cihan         चिहान             n.     grave, graveyard, cemetry,
tomb, burial ground	cijbij        चिजबिज            n.     goods, furniture, wares
tomb, burial ground	cikitsa       चिकित्सा          n.     treatment, remedy,
medication, therapy	cikitsalaya   चिकित्सालय        n.     hospital, dispensary
cil           ale               n.     eagle	cimotnu       चिमोठटनु          v.t.   to pinch, to nip
cil           ale               n.     eagle	cin           चीन               n.     China
cil           ale               n.     eagle	cinari        चिनारी            n.     identity, acquaintance,
intimacy, familiarity	cinaunu       चिनाउनु           v.t.   to introduce, to cause to
recognize	ciniyan       चिर्नायाँ         adj.   Chinese
recognize	cinnu         चिन्नु            v.t.   to recognize, to know, to
identify, to distinguish	cinta         चिन्ता            n.     woory, anxiety, care,
concern, reflection	cintan        चिन्तन            n.     thinking, study, reflection,
contemplation, meditation	cintit        चिन्तित           adj.   sad
contemplation, meditation	ciplo         चिप्लो            adj.   slippery
contemplation, meditation	050           चिसो              adj.   cold, wet, moistened,      damp
contemplation, meditation	ciso pani     चिसो पानी         n.     cold water
cok                       n.     courtyard	cokhinu                   ४.1.   to be pure
vegetables for cooking	culo        चुलो          n.     cooking place, stove
vegetables for cooking	cultho      चुल्ठो        n.     plaited hair, interwoven      hair
aed	cuna        चुना          n.     lime
aed	cunauti     चुनौती        n.     challenge
aed	cunav       चुनाव         n.     election, selection
aed	cunavi      चुनावी        adj.   electoral
at Ald	curot       चुरोट         n.     cigarette
cusnu	चुस्नु        v.t.   to suck
cusnu	३9
cusnu	cutai            चुटाइ                n.     beating, thrashing
ded	cyankhla         च्याँख्ला            n.     ground corn
ded	cyatnu           च्यात्नु             v.t.   to tear
ded	cyau             च्याउ                n.     mushroom
ded	dabau            दबाउ                 n.     pressure
ded	dabi             दाबी                 n.     claim, demand
ded	dadhnu                                ४.1.   to burn, to be burnt up
dadu             sg                   n.     ladle	daguraunu        दगुराउनु             v.t.   to cause to run
dagurnu	ad                   ४.1.   to run, to hasten, to race
dagurnu	daha             दह                   n.     pond, lake
dagurnu	dahi             दही                  n.     yoghurt
dagurnu	dahine           दाहिने               adj.   right
dagurnu	dahri            दाह्ठी               n.     beard
entrance	daju             दाजु                 n.     elder brother
entrance	dajyu            दाज्यु               n.     elder brother
entrance	daknu            डाक्नु               v.t.   to call, to invite
entrance	daksha           दक्ष                 adj.   dexterous,    able, astute
entrance	dakshin koriya   दक्षिण कोरिया        n.     Sudkorea
entrance	dal              दाल                  n.     different kinds of lentils
entrance	dal              दल                   n.     party, group, crowd
entrance	dalal            दलाल                 n.     broker, tout, middleman
entrance	dalbal           दलबल                 n.     the whole party, army,
strenght	dalbandi         दलबन्दी              n.     party politics, group politics
strenght	dalcini          दालचीनी              n.     cinnamon
strenght	dalit            दलित                 n.     Dalit, untouchable (as seen
by the Bahuns)	dallo            डल्लो                n.     round thing, cloth, lump
by the Bahuns)	dalo             डालो                 n.     basket
by the Bahuns)	dalpati          दलपति                n.     party leader, chief,
commander	dalvihinata      दलविहीनता            n.     independence from party,
non-party	daman           दमन                  n.     suppression, oppression
non-party	dampati         दम्पति               n.     husband      and wife
non-party	damphu          डम्फु                n.     a kind of drum
non-party	dan             दान                  n.     donation, gift, religious gift,
contribution	danda           डाँडा                n.     hill, hillock, pole of a roof
contribution	danda           डाँड                 n.     fine, penalty, punishment
contribution	dandalnu        डँडाल्नु             n.     back
contribution	dandi           डाँडी                n.     pole, staff (of a palanquin)
contribution	dando           डाँडो                n.     hill, hillock, the pole of a
roof	danphe          डाँफे                n.     the nine-coloured
National Bird of Nepal]	dant            दाँत                 n.     tooth
National Bird of Nepal]	dant malnu      दाँत Hed             v.t.   to clean teeth
National Bird of Nepal]	dant maskaunu   दाँत मस्काउनु        v.t.   to clean teeth
National Bird of Nepal]	dantko burus    दाँतको बुरुस         n.     tooth brush
National Bird of Nepal]	dantmanjan      दन्तमन्जन            n.     tooth paste
National Bird of Nepal]	danuvar         दनुवार               n.     Dhanuwar [a Nepali
nationality]	dapha           दफा                  n.     section of a law
nationality]	dar             डर                   n.     fear, dread, alarm, risk,
danger	daraj           दराज                 n.     cupboard
danger	daraunu         डराउनु               ४.1.   to frighten, to be frightened
danger	darbar          दरबार                n.     palace, royal court
danger	dari            दारी                 n.     beard
danger	dari            दरी                  n.     cotton rug
danger	daridra         दरिद्र               adj.   poor, needy,     penurious
danger	darim           दारिम                n.     pomegranate
danger	darja           दर्जा                n.     class, standard,      position,
rank	darjan          दर्जन                n.     dozen
rank	darjiling       लार्जीलिङ            n.     Darjeeling
rank	darlagdo        डरलाग्दो             adj.   dreadful, terrible,
41	darle             डरले                          out of fear
41	darshan           दर्शन                n.       audience, appearance,
vision	das               दस                   num.     ten, 10
vision	das               दास                  n.       slave, servant, dependent
vision	dasana            डसना                 n.       cotton rug for lying on,
mattress	dasaun            दसौं                 adj.     tenth
mattress	dashak sarvanam   दशक सर्वनाम          n.       demonstrative pronoun
mattress	dasi              दसी                  n.       proof, evidence
mattress	dasta             दासता                n.       slavery, servitude, bondage
mattress	dastave}          दस्तवेज              n.       document,     deed
mattress	data              दाता                          giver, donor, benefactor
mattress	datri sanstha     दातृ संस्था          n.       donor agency
mattress	daudaha           दौडाहा               n.       touring, travelling,
inspection	daura             दाउरा                n.       firewood, fuel, dried wood
inspection	dava              दावा                 n.       claim, demand
inspection	daya              व्या                 n.       kindness, favour, mercy,
pity, sympathy	daya aunu         दया      आउनु                 to pity, to feel pity
pity, sympathy	dayan             दायाँ                adj.     right
pity, sympathy	dayaniya          दयनीय                adj.     pitiable, arousing pity
pity, sympathy	dekhinu                                ४.1.     to be seen, to appear
pity, sympathy	dekhnu            देख्नु               v.t.     to see
pity, sympathy	dera              डेरा                 n.       residence,    booth, camp
pity, sympathy	desh              देश                  n.       land, country, region
pity, sympathy	deshantar         देशन्तर              n.       terrestrial longitude; foreign
country	deshbhakta        देशभक्त              n.       patriot
country	deshbhakti        देशभक्ति             n.       patriotism
country	deshraksha        देशरक्षा             n.       national defence
country	devar             देवर                 n.       husband's younger brother
42	devarani           देवरानी                  n.     husband's younger
brother's wife	devata             देवटा                    n.     god
brother's wife	dhadas             ढाडस                     n.     encouragement,      hope,
assurance	dhago              धागो                     n.     thread
assurance	dhakane            ढकने                     n.     rice fried in butter and
cooked in milk	dhakdhakyaunu      ढकढकयाउनु                v.t.   to push down, to tap
cooked in milk	dhaknu             ढाक्नु                   v.t.   to hide, to cover, to conceal
cooked in milk	dhamilo            धमिलो                    adj.   dim, not clear, dirty, muddy
cooked in milk	dhamki             धम्की                    n.     threatening, threat, reproof
cooked in milk	dhan               धन                       n.     wealth, property, riches
cooked in milk	dhan               धान                      n.     unhusked Reis
cooked in milk	dhanca             ढाँचा                    n.     design, way, method, make
profession	dhandhali          धाँधली                   n.     chaos, chaotic state
profession	dhani              धानी                     adj.   golden
profession	dhani              धनी                      adj.   rich
profession	dhaniyan           धनियाँ                   n.     coriander
profession	dhaniyanko   sag   धनियाँको      साग        n.     coriander green
profession	dhantnu            clad                     ४.1.   to tell a lie, to deceive
profession	dhapaunu           धपाउनु                   v.t.   to drive away, to chase
profession	dhara              धारा                     n.     water tap, torrent, current
of water	dharahara          घरहरा                    n.     tower
of water	dharan             धारण                     n.     holding, wielding
of water	dharana            धारणा                    n.     determination, thought,
memory	dharatal           धरातल                    n.     surface (of the earth)
memory	dharke             धर्क                     adj.   striped
memory	dharma             धर्म                     n.     religion, duty, creed, faith
memory	dharmadeva         धमदेव                    n.     Dharmadeva [a Licchavi
king, father of Manadeva I]	dharmadhikari      धर्माधिकारी                     an official responsible for
jurisdiction	dharmagranth       धर्मग्रन्थ               n.     religious text
43	dharmashala           धर्मशाला            n.      resthouse [for religious
puposes]	dharmavacak nam       धर्मवाचक नाम        n.      abstract noun [ling.]
puposes]	dharmik               धर्मिक              adj.    religious, related to dharma
puposes]	dharmik sthan         धर्मिक स्थान        n.      religious centre
puposes]	dharna                धर्ना               n.      the act of waiting for
something	dharo                 धारो                n.      spring of water, current of
nationality]	dhvanse               ध्वाँसे             adj.    dark-brown,       soot-coloured
nationality]	dhyan                 ध्यान               n.      meditation, contemplation
nationality]	didi                  दिदी                n.      elder sister
nationality]	digo                  दीगो                adj.    sustainable
nationality]	din                   दिन                 n.      day
nationality]	dinahun               दिनहँ   No
adj.    daily	dinbhari              दिनभरि                      for the whole day
adj.    daily	dirgha                दीर्घ               adj.    large, wide, tall, huge, deep
44	dirghakalin       दीर्घकालीन             adj.   sustained, chronic, long
term	disha             दिशा                   n.     direction
term	diunso            दिउँसो                 adv.   at the day time
sinful	dosro             दोस्रो                 adj.   second
sinful	dravyavacak nam   द्रव्यवाचक नाम         n.     material noun
sinful	dristikon         दुस्ठिकोण              n.     viewpoint, visual angle
sinful	dublaunu          दुब्लाउनु              ४...   to get thin, to be weak
sinful	dublo             दुब्लो                 adj.   weak, thin, lean, skiny
sinful	dubnu                                    ४...   to drown, to sink
sod	dubulki marnu     डुबुल्की मार्नु        v.t.   to take the plunge
sod	dudh              दुध                    n.     milk
gra	dugdhasar         दुग्धसार               n.     cheese
dugurnu	ad                     ४...   to run
dugurnu	duhkhi            दुः ai                 adj.   sad
dugurnu	दुहुनु                 v.t.
dugurnu	dui               दुई                    num.   two, 2
dugurnu	dura              दुरा                   n.     Dura [a Nepali nationality]
dugurnu	duragraha         दुराग्रह               n.     prejudice, improper attempt
dugurnu	durdarshita       द्रदर्शिता             n.     far-sightedness,    prudence,
sagacity	durgam            दुर्गम                 adj.   remote
sagacity	dursancar         दुरसँचार               n.     telecommunication
sagacity	durvavahar        दुर्ववहार              n.     misconduct,     misbehaviour
sagacity	dusti             द्स्ति                 adj.   defective, corrupted,
courier	dvandva               द्वाद                     n.        couple, duel, quarrel
courier	dvara                 द्वारा                    postp.    from, by
courier	dvija                 द्विज                     n.        twice-born, Brahman,
oviparous	dvitiya purus vacak   द्वितीय पुरुष वाचक        n.        second person [ling.]
oviparous	dvitiyardha           द्वितीयार्ध               n.        second half
